numero_de_cliente	clase_ternaria	prob
11675570	CONTINUA	0.00149496088691857
11675731	CONTINUA	0.000663247836841738
11677630	CONTINUA	0.012326624477809
11678491	CONTINUA	0.000510125795652924
11678621	CONTINUA	0.00044367149431992
11679331	CONTINUA	0.00125513216925578
11680281	CONTINUA	0.00504460688714679
11682860	CONTINUA	0.000278219295219992
11683331	CONTINUA	0.00364062904481468
11685801	CONTINUA	0.000335356643508539
11687440	CONTINUA	0.000487976128964312
11687720	CONTINUA	0.00039582115165171
11688421	CONTINUA	0.000581739367358954
11689401	CONTINUA	0.023587811838193
11690330	CONTINUA	0.0010779224027043
11690740	CONTINUA	0.00259533859820588
11691191	CONTINUA	0.00362171350420016
11691850	CONTINUA	0.000707872758850716
11695140	CONTINUA	0.0987939447037201
11695321	CONTINUA	0.00180783490572486
11697261	CONTINUA	0.000863649955667896
11697490	CONTINUA	0.00244127994219638
11698501	CONTINUA	0.000725690037182831
11698641	CONTINUA	0.00202347087759401
11700691	CONTINUA	0.000190420640437711
11700790	CONTINUA	0.00312569228359222
11701350	CONTINUA	0.000257676849960195
11701770	CONTINUA	0.00133978332828606
11702170	CONTINUA	0.000232610495757211
11702430	CONTINUA	0.000155240036875544
11702710	CONTINUA	0.00174574144379692
11703280	CONTINUA	0.000338056313467371
11704161	CONTINUA	0.000122194825772826
11704260	CONTINUA	0.00264934532881872
11704650	CONTINUA	0.000870842056091997
11705610	CONTINUA	0.00544634039355877
11708130	CONTINUA	0.000216128654565855
11709131	CONTINUA	0.000353447945249362
11713251	CONTINUA	0.000226696399761668
11716360	CONTINUA	0.00180206268516272
11717880	CONTINUA	0.000156160438614678
11720520	CONTINUA	0.00603895775029494
11723611	CONTINUA	0.000762311114244425
11724141	CONTINUA	0.000326330777574382
11724520	CONTINUA	0.00131374211673337
11725200	CONTINUA	0.0750202734051353
11725651	CONTINUA	0.00195300856744569
11729620	CONTINUA	0.00498765863862007
11731950	CONTINUA	0.000362627080350586
11732421	CONTINUA	0.000437450897335978
11734201	CONTINUA	0.00186659719245866
11738921	CONTINUA	0.000158809761364241
11739140	CONTINUA	0.000251830776074808
11740680	CONTINUA	0.000461225948704957
11742460	CONTINUA	0.00104024069592978
11744100	CONTINUA	0.000195912449137234
11745200	CONTINUA	0.00127872791858589
11746710	CONTINUA	0.0011822425371442
11746730	CONTINUA	0.00426727393614883
11747710	CONTINUA	0.000253013962407293
11748120	CONTINUA	0.00151445326773669
11748810	CONTINUA	0.000387649679663736
11749090	CONTINUA	0.00223211461721884
11750710	CONTINUA	0.00171913259455686
11753050	CONTINUA	0.00951677146339564
11753261	CONTINUA	0.0119345645111668
11753910	CONTINUA	0.00042893193789722
11758720	CONTINUA	0.00148153217836692
11759960	CONTINUA	0.00270079722942375
11760001	CONTINUA	0.000548080083219638
11760370	CONTINUA	0.0208097381838873
11760780	CONTINUA	0.00149040318578995
11763160	CONTINUA	0.000356563286078794
11763191	CONTINUA	0.000195405375185206
11763301	CONTINUA	0.000914051791094268
11763540	CONTINUA	0.00688462219467163
11764540	CONTINUA	0.00124916210138975
11764971	CONTINUA	0.00372473856619999
11765330	CONTINUA	0.00116776177693959
11765340	CONTINUA	0.000536942345731493
11766751	CONTINUA	0.0023672651137864
11770150	CONTINUA	0.00116389533872386
11772500	CONTINUA	0.000670038912820479
11774481	CONTINUA	0.0511610290922286
11776961	CONTINUA	0.000264160802879035
11777661	CONTINUA	0.000602487821515869
11777951	CONTINUA	0.000864074313306872
11778631	CONTINUA	0.000801546614082119
11778761	CONTINUA	0.0015776647414955
11779270	CONTINUA	0.000738985057893091
11779810	CONTINUA	0.000378955506466771
11779820	CONTINUA	0.00236448257885261
11781360	CONTINUA	0.00184323695861423
11783010	CONTINUA	0.00218165980866365
11783150	CONTINUA	0.00110338289907022
11783410	CONTINUA	0.0002869414385037
11784561	CONTINUA	0.000825647605646427
11786491	CONTINUA	0.000469228612857163
11787140	CONTINUA	0.00261013687287579
11791581	CONTINUA	0.00339746949880845
11791601	CONTINUA	0.000312658021470804
11792120	CONTINUA	0.00137162416667534
11796240	CONTINUA	0.00702495725757983
11796660	CONTINUA	0.00124597767364587
11796800	CONTINUA	0.000630774136950905
11797200	CONTINUA	0.00107335707203887
11797600	CONTINUA	0.000398154763039883
11798331	CONTINUA	0.00170102983776641
